"gid";"id_grid";"dir";"coor";"x";"y"
28;289;"C 50 O 5D O 09";"3.466326888657,-76.590077496489";-76.590077496489;3.466326888657
29;289;"C 50 O 5D O 15  1";"3.466342166089,-76.59004200623";-76.59004200623;3.466342166089
30;289;"A 5D O 50 O 21";"3.466268658307,-76.590171178754";-76.590171178754;3.466268658307
31;289;"C 50 O 5A O 21  1";"3.465816280578,-76.590345604137";-76.590345604137;3.465816280578
32;289;"C 50 O 5A O 27";"3.466215258994,-76.59025366718";-76.59025366718;3.466215258994
33;289;"C 50 O 5A O 33";"3.465907216166,-76.590308476565";-76.590308476565;3.465907216166
34;289;"C 50 O 5A O 45";"3.466022647607,-76.590378052444";-76.590378052444;3.466022647607
35;289;"A 5D O 49 O 09";"3.465735472951,-76.589885886611";-76.589885886611;3.465735472951
36;289;"A 5A O 50 O 10";"3.465764598865,-76.590371412334";-76.590371412334;3.465764598865
37;289;"A 5A O 50 O 04 0200";"3.46556959805,-76.590209619111";-76.590209619111;3.46556959805
